title,forma,manufacturer,image-src
"Карнитина хлорид","ампулы 100 мг/мл, 5 мл, 10 шт.","Российский кардиологический центр, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Анаприлин","таблетки 10 мг, 50 шт.","Татхимфармпрепараты, Россия","http://www.eapteka.ru/upload/offer_photo/860/24/1.jpg"
"Остеомед","таблетки, 60 шт.","Парафарм, Россия","http://www.eapteka.ru/upload/offer_photo/217/849/1.jpg"
"Артезин","таблетки 4 мг, 30 шт.","Валента Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/207/563/1.gif"
"Венитан","гель 1% , 50 г","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/990/31/1.jpg"
"Йод-актив 100","таблетки, 60 шт.","Диод, Россия","http://www.eapteka.ru/upload/offer_photo/210/391/1.jpg"
"Ревалгин","таблетки, 100 шт","Шрея, Индия","http://www.eapteka.ru/upload/offer_photo/238/306/resized/230_230_1.jpg"
"Максигра","таблетки покрыт.плен.об. 50 мг 4 шт.","Польфарма, Польша","http://www.eapteka.ru/upload/offer_photo/231/166/resized/230_230_1.png"
"Марвелон","таблетки, 21 шт.","Шеринг-Плау, США","http://www.eapteka.ru/upload/offer_photo/341/60/resized/230_230_1.jpg"
"Адрианол","капли назальные детские 10 мл","Актавис, Швейцария","http://www.eapteka.ru/upload/offer_photo/123/601/1.gif"
"Карведилол","таблетки 12,5 мг, 30 шт","Вертекс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Артрозан","таблетки 15 мг 10 шт.","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/238/614/1.gif"
"Метоклопрамид","ампулы 5 мг/мл , 2 мл , 10 шт.","Новосибхимфарм, Россия","http://www.eapteka.ru/upload/offer_photo/233/976/resized/230_230_1.jpeg"
"Лортенза таблетки покрыт.плен.об. 5 мг + 100 мг 30 шт.","упак.","КРКА, Словения","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Бисопролол","таблетки 5 мг, 60 шт.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/233/483/1.jpg"
"Кординорм","таблетки 10 мг, 30 шт.","Актавис, Швейцария","http://www.eapteka.ru/upload/offer_photo/211/055/resized/230_230_1.jpg"
"Благомакс Фолиевая Кислота с витаминами В12 и C","капсулы, 90 шт.","ВИС, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Санорин-Ксило","капли назальные 0,05% 10 мл","Меркле ГмбХ, Германия","http://www.eapteka.ru/upload/offer_photo/233/468/resized/230_230_1.jpg"
"Вианвак","р-р для п/к введ. 1 доза ампулы 0,5 мл 10 шт.","Гритвак, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Лориста НД","таблетки 100 мг+25 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/210/617/1.jpg"
"Кампто ЦС","флаконы 100 мг , 5 мл","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/212/91/resized/230_230_1.jpg"
"Вимпат","таблетки 150 мг, 56 шт.","ЮСБ Фаршим С.А., Бельгия","http://www.eapteka.ru/upload/offer_photo/212/420/resized/230_230_1.jpg"
"Доктор храп экс","спрей с мятой, 60 мл","Мирра, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Глидиаб","таблетки 80 мг, 60 шт.","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/204/502/resized/230_230_1.jpg"
"Геладринк Артродиет","порошок 390 г, ананас","Орлинг, Чехия","http://www.eapteka.ru/upload/offer_photo/210/928/resized/230_230_1.jpg"
"Клещ-Э-Вак","сусп. для в/м введ. ампулы 0,5 мл 10 шт","ФГУП института им Чумакова, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Полинадим","капли глазные, 10 мл","Синтез АКОМП, Россия","http://www.eapteka.ru/upload/offer_photo/215/486/resized/230_230_1.jpg"
"Бинафин","таблетки 250 мг, 14 шт.","Шрея, Индия","http://www.eapteka.ru/upload/offer_photo/206/514/1.jpg"
"Рыбий жир с облепихой","капсулы, 100 шт","Биоконтур, Россия","http://www.eapteka.ru/upload/offer_photo/242/330/resized/230_230_1.jpg"
"Элицея","таблетки 10 мг, 28 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/216/372/resized/230_230_1.jpg"
"Ринзасип с витамином С","лимон, пакетики 5 г, 5 шт.","Юник Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/219/180/resized/230_230_1.jpg"
"Фенотерол-Натив","р-р для ингаляций 1 мг/мл 20 мл 1шт.","Натива, Россия","http://www.eapteka.ru/upload/offer_photo/254/986/resized/230_230_1.png"
"Золотой ус бальзам для тела в области шеи","75 мл","Природная косметика, Россия","http://www.eapteka.ru/upload/offer_photo/215/720/resized/230_230_1.jpg"
"Валсартан + гидрохлортиазид-Акрихин таблетки покрыт.об. 160 мг + 12,5 мг 28 шт.","упак.","Акрихин, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Омник Окас","таблетки покрыт.об.с контр.высв. 0,4 мг, 10 шт.","Астеллас, Нидерланды","http://www.eapteka.ru/upload/offer_photo/208/373/resized/230_230_1.jpg"
"Вазотенз Н таблетки 50 мг+12.5 мг","30 шт.","Актавис, Швейцария","http://www.eapteka.ru/upload/offer_photo/260/275/resized/230_230_1.jpg"
"Таксиер","таблетки 50 мг, 4 шт.","Зентива, Чехия","http://www.eapteka.ru/upload/offer_photo/225/002/resized/230_230_1.jpg"
"Цефтриаксон","флакон, 1 г, 50 шт.","Биохимик Саранск, Россия","http://www.eapteka.ru/upload/offer_photo/224/406/resized/230_230_1.jpg"
"Супер Мультивитамины Доктора Лайнуса Полинга","таблетки, 120 шт.","Ирвин Нэчуралс, США","http://www.eapteka.ru/upload/offer_photo/203/866/1.jpg"
"Глюкоза раствор для инфузий 5% флаконы 200 мл","28 шт","Мосфарм, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Максигра","таблетки покрыт.плен.об. 100 мг 4 шт.","Польфарма, Польша","http://www.eapteka.ru/upload/offer_photo/231/168/resized/230_230_1.png"
"Гилениа","капсулы 500 мг, 28 шт.","Новартис, Швейцария","http://www.eapteka.ru/upload/offer_photo/214/943/resized/230_230_1.jpg"
"Дальнева","таблетки 5 мг+8 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/230/984/resized/230_230_1.jpg"
"Зорекс","капсулы 250 мг+10 мг, 10 шт.","Валента Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/208/818/resized/230_230_1.jpg"
"Дибазол","ампулы 1%, 5 мл, 10 шт.","Биохимик, Россия","http://www.eapteka.ru/upload/offer_photo/230/991/resized/230_230_1.jpg"
"Лептандра композитум","капли для приема внутрь , 30 мл","Хеель, Германия","http://www.eapteka.ru/upload/offer_photo/230/18/1.gif"
"Лизиноприл","таблетки 10 мг, 30 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/229/589/1.jpg"
"Солгар Вижн Гард плюс","капсулы, 60 шт.","Солгар, США","http://www.eapteka.ru/upload/offer_photo/216/377/resized/230_230_1.jpg"
"Антистакс","гель, 125 мл","Берингер Ингельхайм, Австрия","http://www.eapteka.ru/upload/offer_photo/208/862/resized/230_230_1.jpg"
"Аллохол","таблетки, 25 шт.","Биосинтез, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Моксонидин-СЗ","таблетки покрыт.плен.об. 0,4 мг, 14 шт.","Северная Звезда, Россия","http://www.eapteka.ru/upload/offer_photo/233/741/resized/230_230_1.jpg"
"Спирулина ВЭЛ+Селен","таблетки, 60 шт","В-МИН+, Россия","http://www.eapteka.ru/upload/offer_photo/246/347/resized/230_230_1.jpg"
"Глутаргин алкоклин","таблетки 1г 2 шт","Здоровье, Россия","http://www.eapteka.ru/upload/offer_photo/243/989/resized/230_230_1.png"
"АйЭнЭс (INS) Глико-Контрол (Glyco-Control) капсулы 60 шт.","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/000/1.jpg"
"Туссамаг","капли для приема внутрь , 50 мл","Меркле ГмбХ, Германия","http://www.eapteka.ru/upload/offer_photo/246/68/resized/230_230_1.jpg"
"Биосулин Р суспензия для п/кожн.введ.100 МЕ/мл картридж 3 мл 5 шт.","упак.","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/upload/offer_photo/216/319/resized/230_230_1.gif"
"Арнебия Витамин С+Селен+Цинк таблетки шипучие 20 шт.","упак.","Нутрило, Германия","http://www.eapteka.ru/upload/offer_photo/252/467/resized/230_230_1.jpg"
"Геладринк Артродиет","порошок 390 г, малина","Орлинг, Чехия","http://www.eapteka.ru/upload/offer_photo/211/104/1.jpg"
"Тербинафин","таблетки 250 мг 10 шт.","Биоком, Россия","http://www.eapteka.ru/upload/offer_photo/244/656/resized/230_230_1.jpg"
"Долгит крем 5%","20 г","Долоргит, Германия","http://www.eapteka.ru/upload/offer_photo/250/56/1.gif"
"Мигренол ПМ","таблетки, 8 шт.","Фоур Венчерс, США","http://www.eapteka.ru/upload/offer_photo/998/08/resized/230_230_1.png"
"Гидрокортизон","мазь глазная 0.5% , 3 г","Ельфа Фармзавод, Польша","http://www.eapteka.ru/upload/offer_photo/346/36/resized/230_230_1.jpg"
"Бронхинол сироп от кашля","сироп от кашля с подорожником и мать-и-мачехой фла","Херкель Б.В., Нидерланды","http://www.eapteka.ru/upload/offer_photo/242/366/resized/230_230_1.jpg"
